ano,sigla_uf,id_municipio,produto,area_destinada_colheita,area_colhida,quantidade_produzida,rendimento_medio_producao,valor_producao
2012,MG,3171808,Café (em grão) Arábica,150,150,189,1260,1134
2013,MG,3106507,Café (em grão) Arábica,70,70,67,957,308
2013,MG,3135076,Café (em grão) Arábica,NA,NA,NA,NA,NA
2013,MG,3136207,Café (em grão) Arábica,2,2,2,1000,8
2013,MG,3126208,Café (em grão) Arábica,130,130,312,2400,1404
2020,MG,3101631,Café (em grão) Arábica,NA,NA,NA,NA,NA
2015,MG,3104007,Café (em grão) Arábica,1900,1900,2850,1500,20710
2015,MG,3124203,Café (em grão) Arábica,9356,9356,12911,1380,97340
2011,MG,3133105,Café (em grão) Arábica,NA,NA,NA,NA,NA
2011,MG,3154507,Café (em grão) Arábica,NA,NA,NA,NA,NA
2018,MG,3169703,Café (em grão) Arábica,780,780,1357,1740,8594
2018,MG,3155702,Café (em grão) Arábica,NA,NA,NA,NA,NA
2018,MG,3127339,Café (em grão) Arábica,NA,NA,NA,NA,NA
2015,MG,3151305,Café (em grão) Arábica,NA,NA,NA,NA,NA
2015,MG,3162922,Café (em grão) Arábica,NA,NA,NA,NA,NA
2015,MG,3162203,Café (em grão) Arábica,240,240,259,1079,1684
2021,MG,3158805,Café (em grão) Arábica,340,340,408,1200,6467
2021,MG,3148301,Café (em grão) Arábica,1330,1330,1995,1500,27498
2021,MG,3133006,Café (em grão) Arábica,NA,NA,NA,NA,NA
2021,MG,3128709,Café (em grão) Arábica,4500,4500,4590,1020,66173
2019,MG,3124807,Café (em grão) Arábica,2271,2271,3815,1680,26133
2019,MG,3142502,Café (em grão) Arábica,NA,NA,NA,NA,NA
2019,MG,3102209,Café (em grão) Arábica,821,821,542,660,3107
2019,MG,3136504,Café (em grão) Arábica,NA,NA,NA,NA,NA
2023,MG,3144904,Café (em grão) Arábica,NA,NA,NA,NA,NA
2023,MG,3110103,Café (em grão) Arábica,3500,3500,3780,1080,51953
2013,MG,3103751,Café (em grão) Arábica,NA,NA,NA,NA,NA
2013,MG,3159209,Café (em grão) Arábica,190,190,320,1684,1352
2020,MG,3155306,Café (em grão) Arábica,NA,NA,NA,NA,NA
2020,MG,3167509,Café (em grão) Arábica,NA,NA,NA,NA,NA
2011,MG,3130101,Café (em grão) Arábica,NA,NA,NA,NA,NA
2011,MG,3128600,Café (em grão) Arábica,NA,NA,NA,NA,NA
2011,MG,3126109,Café (em grão) Arábica,NA,NA,NA,NA,NA
2017,MG,3104502,Café (em grão) Arábica,NA,NA,NA,NA,NA
2018,MG,3155108,Café (em grão) Arábica,NA,NA,NA,NA,NA
2018,MG,3170438,Café (em grão) Arábica,NA,NA,NA,NA,NA
2018,MG,3120839,Café (em grão) Arábica,310,310,316,1019,1938
2018,MG,3110004,Café (em grão) Arábica,20,20,30,1500,207
2015,MG,3143906,Café (em grão) Arábica,1500,1500,1620,1080,11340
2021,MG,3170529,Café (em grão) Arábica,553,553,995,1799,13557
2021,MG,3118700,Café (em grão) Arábica,5000,5000,7500,1500,108188
2019,MG,3130903,Café (em grão) Arábica,3520,3520,4646,1320,29734
2019,MG,3133600,Café (em grão) Arábica,NA,NA,NA,NA,NA
2014,MG,3119203,Café (em grão) Arábica,450,450,468,1040,3343
2023,MG,3151008,Café (em grão) Arábica,473,473,691,1461,10062
2023,MG,3131000,Café (em grão) Arábica,NA,NA,NA,NA,NA
2013,MG,3138401,Café (em grão) Arábica,30,30,36,1200,144
2013,MG,3112000,Café (em grão) Arábica,6420,6420,9630,1500,47977
2013,MG,3118007,Café (em grão) Arábica,13,13,18,1385,88
2013,MG,3132503,Café (em grão) Arábica,500,500,600,1200,2760
2015,MG,3132909,Café (em grão) Arábica,6815,6815,10768,1580,80760
2015,MG,3109501,Café (em grão) Arábica,7060,7060,13979,1980,98552
2018,MG,3143104,Café (em grão) Arábica,13120,13120,30307,2310,227303
2018,MG,3121258,Café (em grão) Arábica,NA,NA,NA,NA,NA
2018,MG,3103801,Café (em grão) Arábica,600,600,1080,1800,7452
2018,MG,3144672,Café (em grão) Arábica,1300,1300,1560,1200,9256
2015,MG,3161502,Café (em grão) Arábica,300,300,225,750,1694
2021,MG,3146701,Café (em grão) Arábica,NA,NA,NA,NA,NA
2021,MG,3170206,Café (em grão) Arábica,540,540,961,1780,13646
2021,MG,3112059,Café (em grão) Arábica,NA,NA,NA,NA,NA
2019,MG,3168804,Café (em grão) Arábica,NA,NA,NA,NA,NA
2019,MG,3165305,Café (em grão) Arábica,NA,NA,NA,NA,NA
2019,MG,3172004,Café (em grão) Arábica,6,6,3,500,19
2014,MG,3169703,Café (em grão) Arábica,800,800,1440,1800,10080
2023,MG,3162005,Café (em grão) Arábica,9130,9130,10956,1200,153376
2013,MG,3112653,Café (em grão) Arábica,NA,NA,NA,NA,NA
2013,MG,3119005,Café (em grão) Arábica,2140,2140,2440,1140,10980
2020,MG,3151008,Café (em grão) Arábica,550,550,802,1458,6748
2020,MG,3124708,Café (em grão) Arábica,200,200,360,1800,2790
2020,MG,3127008,Café (em grão) Arábica,NA,NA,NA,NA,NA
2020,MG,3166006,Café (em grão) Arábica,120,120,216,1800,1706
2020,MG,3147600,Café (em grão) Arábica,NA,NA,NA,NA,NA
2018,MG,3108800,Café (em grão) Arábica,12,12,7,583,48
2021,MG,3163508,Café (em grão) Arábica,NA,NA,NA,NA,NA
2021,MG,3110905,Café (em grão) Arábica,3036,3036,4025,1326,57965
2019,MG,3152204,Café (em grão) Arábica,NA,NA,NA,NA,NA
2019,MG,3139003,Café (em grão) Arábica,12882,12882,19672,1527,128852
2019,MG,3107901,Café (em grão) Arábica,25,25,23,920,150
2014,MG,3128808,Café (em grão) Arábica,NA,NA,NA,NA,NA
2013,MG,3135357,Café (em grão) Arábica,NA,NA,NA,NA,NA
2020,MG,3150158,Café (em grão) Arábica,2520,2520,4536,1800,36742
2020,MG,3163508,Café (em grão) Arábica,NA,NA,NA,NA,NA
2015,MG,3123908,Café (em grão) Arábica,300,300,490,1633,2940
2011,MG,3108503,Café (em grão) Arábica,NA,NA,NA,NA,NA
2011,MG,3109402,Café (em grão) Arábica,NA,NA,NA,NA,NA
2011,MG,3109808,Café (em grão) Arábica,NA,NA,NA,NA,NA
2018,MG,3107406,Café (em grão) Arábica,NA,NA,NA,NA,NA
2018,MG,3112208,Café (em grão) Arábica,210,210,441,2100,3043
2018,MG,3168903,Café (em grão) Arábica,1770,1770,3398,1920,25485
2015,MG,3159902,Café (em grão) Arábica,9640,9640,11568,1200,78084
2021,MG,3130556,Café (em grão) Arábica,3400,3400,4080,1200,53465
2021,MG,3104700,Café (em grão) Arábica,75,75,47,627,560
2021,MG,3146305,Café (em grão) Arábica,165,165,79,479,909
2019,MG,3153608,Café (em grão) Arábica,NA,NA,NA,NA,NA
2019,MG,3161601,Café (em grão) Arábica,NA,NA,NA,NA,NA
2014,MG,3140308,Café (em grão) Arábica,25,25,30,1200,195
2014,MG,3104809,Café (em grão) Arábica,NA,NA,NA,NA,NA
2014,MG,3154507,Café (em grão) Arábica,NA,NA,NA,NA,NA
2014,MG,3119906,Café (em grão) Arábica,NA,NA,NA,NA,NA
2013,MG,3152709,Café (em grão) Arábica,50,30,120,4000,552
2013,MG,3116605,Café (em grão) Arábica,500,500,750,1500,3462
2020,MG,3150901,Café (em grão) Arábica,6,6,8,1333,69
2020,MG,3129806,Café (em grão) Arábica,NA,NA,NA,NA,NA
2015,MG,3132701,Café (em grão) Arábica,70,70,84,1200,546
2015,MG,3107109,Café (em grão) Arábica,15265,15265,19234,1260,139485
2015,MG,3136306,Café (em grão) Arábica,1600,1600,3840,2400,23616
2011,MG,3169802,Café (em grão) Arábica,NA,NA,NA,NA,NA
